Rank,School,Games Played,Goals,Goals Per Game
1,Virginia,17,293,17.24
2,Utah,17,274,16.12
3,Notre Dame,16,248,15.5
4,Yale,15,227,15.13
5,Duke,19,282,14.84
6,Georgetown,17,252,14.82
7,Cornell,15,222,14.8
8,Delaware,18,265,14.72
9,North Carolina,14,205,14.64
10,Saint Joseph's,15,217,14.47
11,Jacksonville,16,231,14.44
12,Syracuse,15,215,14.33
13,Bryant,17,241,14.18
14,High Point,17,240,14.12
15,Princeton,15,211,14.07
16,Boston U.,14,193,13.79
17,Lehigh,15,206,13.73
18,Bellarmine,17,233,13.71
19,Michigan,17,230,13.53
20,Penn St.,16,216,13.5
21,Marist,18,242,13.44
22,Binghamton,14,187,13.36
23,Marquette,14,186,13.29
24,Hobart,13,172,13.23
25,Quinnipiac,14,183,13.07
26,Stony Brook,16,209,13.06
27,Villanova,15,194,12.93
28,Richmond,16,206,12.88
29,Army West Point,17,218,12.82
30,Johns Hopkins,18,226,12.56
31,Harvard,12,150,12.5
32,Brown,14,173,12.36
-,Drexel,14,173,12.36
-,Rutgers,14,173,12.36
35,Maryland,16,196,12.25
36,Air Force,17,206,12.12
37,Fairfield,14,168,12
38,Towson,15,179,11.93
39,Penn,13,154,11.85
-,UMBC,13,154,11.85
41,Dartmouth,12,140,11.67
42,Robert Morris,16,186,11.62
43,Denver,15,174,11.6
44,Cleveland St.,13,150,11.54
45,Bucknell,13,147,11.31
46,Ohio St.,14,158,11.29
47,Vermont,14,157,11.21
48,Siena,16,179,11.19
49,Lafayette,16,178,11.12
50,Colgate,11,122,11.09
51,Providence,15,164,10.93
52,Loyola Maryland,17,185,10.88
53,Mount St. Mary's,16,172,10.75
54,LIU,14,150,10.71
55,UAlbany,16,171,10.69
56,Mercer,16,169,10.56
57,NJIT,13,136,10.46
58,Hofstra,14,145,10.36
59,Canisius,15,155,10.33
-,Sacred Heart,15,155,10.33
-,VMI,15,155,10.33
62,Navy,16,164,10.25
63,Massachusetts,14,141,10.07
64,Manhattan,15,142,9.47
65,St. John's (NY),14,130,9.29
66,Monmouth,14,129,9.21
67,Holy Cross,14,123,8.79
68,Detroit Mercy,13,112,8.62
69,UMass Lowell,13,103,7.92
70,St. Bonaventure,14,108,7.71
-,Wagner,14,108,7.71
72,Hampton,14,104,7.43
